,simulation_1
2084-02-22,5.337006994958976
2084-02-23,4.655701287629155
2084-02-24,6.712115109737446
2084-02-25,8.821639783663489
2084-02-26,8.611879054108691
2084-02-27,10.860263552945469
2084-02-28,10.697480360074328
2084-02-29,8.567752976093614
2084-03-01,7.586077923407611
2084-03-02,8.750712566867495
2084-03-03,7.751400589317549
2084-03-04,8.419138704148736
2084-03-05,9.621620451977893
2084-03-06,10.661637077035953
2084-03-07,10.352953976028811
2084-03-08,12.095189675006141
2084-03-09,12.281961634345462
2084-03-10,12.443167116519081
2084-03-11,15.232337725262692
2084-03-12,12.045494478200105
2084-03-13,10.338027717633501
2084-03-14,9.051921620659499
2084-03-15,7.638654860042447
2084-03-16,8.33966680167498
2084-03-17,7.97255469152849
2084-03-18,7.9738160879893645
2084-03-19,7.860217041902333
2084-03-20,9.574073654054818
2084-03-21,9.167284682402865
2084-03-22,8.813730097355078
2084-03-23,8.111885259949768
2084-03-24,7.483790317614585
2084-03-25,7.205381413754594
2084-03-26,8.195051686635042
2084-03-27,8.725832914728858
2084-03-28,7.159385865797231
2084-03-29,7.321358800863081
2084-03-30,8.311506545350749
2084-03-31,9.628916892769283
2084-04-01,10.640329765175487
2084-04-02,11.329601333173912
2084-04-03,11.636399547117307
2084-04-04,11.308575780033888
2084-04-05,11.019300501049674
2084-04-06,10.054483592761727
2084-04-07,9.353852640944467
2084-04-08,9.940146986520812
2084-04-09,10.460073569930247
2084-04-10,10.899675495146955
2084-04-11,11.113437582418289
2084-04-12,9.991910766679439
2084-04-13,9.495176815621596
2084-04-14,9.613990854661996
2084-04-15,9.58941317238095
2084-04-16,9.279853638881292
2084-04-17,8.822870624997416
2084-04-18,8.64570831816358
2084-04-19,9.560311560737102
2084-04-20,10.0472971693515
2084-04-21,9.515757352788775
2084-04-22,8.68589925533098
2084-04-23,7.963010809945931
2084-04-24,7.897340618650404
2084-04-25,8.238425739731541
2084-04-26,7.593954160935908
2084-04-27,7.677966983634057
2084-04-28,14.344642690440871
2084-04-29,12.661654144855301
2084-04-30,10.586933839525853
2084-05-01,9.243295317479921
2084-05-02,9.1897037302924
2084-05-03,9.015016344576072
2084-05-04,9.17678284342196
2084-05-05,9.435161478943854
2084-05-06,9.930263288247598
2084-05-07,10.286163203277622
2084-05-08,10.579642108438454
2084-05-09,10.649656800421027
