DATE,Tmax,Tmin,prec,T,Discharge,ETP
2002-12-20,4.7,-3.6,0.9,0.55,0.37656,0.3
2002-12-21,8.2,4.6,3.7,6.3999999999999995,0.51195,0.5
2002-12-22,10.7,7.4,13.5,9.05,1.474,0.5
2002-12-23,8.4,6.4,0.2,7.4,2.86736,0.5
2002-12-24,9.7,6.1,0.6,7.8999999999999995,2.53952,0.5
2002-12-25,8.7,6.7,1.2,7.699999999999999,1.94518,0.5
2002-12-26,9.6,5.8,10.8,7.699999999999999,2.43272,0.5
2002-12-27,10.6,7.7,1.0,9.15,3.66315,0.6
2002-12-28,8.7,5.7,1.0,7.199999999999999,3.29474,0.5
2002-12-29,10.7,4.2,14.5,7.449999999999999,2.88695,0.5
2002-12-30,10.2,8.4,4.5,9.3,4.67472,0.6
2002-12-31,8.5,-0.2,1.7,4.15,5.52248,0.398
2003-01-01,10.7,0.1,13.8,5.3999999999999995,4.98811,0.398
2003-01-02,11.5,6.2,28.6,8.85,19.51297,0.6
2003-01-03,8.0,5.1,6.5,6.55,23.34987,0.5
2003-01-04,5.6,-4.3,5.6,0.6499999999999999,9.48715,0.3
2003-01-05,-2.5,-6.6,3.5,-4.55,5.0436,0.202
2003-01-06,-1.3,-8.0,0.3,-4.65,3.3504,0.202
2003-01-07,-4.9,-9.5,0.2,-7.2,2.45108,0.202
2003-01-08,-6.8,-12.8,0.0,-9.8,1.87763,0.202
2003-01-09,-4.8,-10.1,0.0,-7.449999999999999,1.50317,0.202
2003-01-10,-4.7,-11.8,0.2,-8.25,1.20088,0.202
2003-01-11,0.0,-7.1,0.0,-3.55,1.00899,0.3
2003-01-12,-0.7,-8.0,0.0,-4.35,0.84974,0.202
2003-01-13,0.9,-6.9,1.1,-3.0,0.77151,0.3
2003-01-14,1.7,0.7,0.5,1.2,0.80511,0.398
2003-01-15,2.6,0.8,0.1,1.7000000000000002,0.83418,0.398
2003-01-16,3.4,0.2,1.9,1.8,0.88178,0.398
2003-01-17,0.9,-2.8,0.0,-0.95,0.83278,0.3
2003-01-18,1.4,-1.6,0.0,-0.10000000000000009,0.823,0.398
2003-01-19,5.3,-1.0,1.3,2.15,0.84768,0.398
2003-01-20,7.7,4.0,3.9,5.85,1.11524,0.5
2003-01-21,6.6,4.0,2.7,5.3,1.58317,0.5
2003-01-22,6.4,3.5,7.3,4.95,2.03323,0.5
2003-01-23,5.2,2.3,3.1,3.75,2.59017,0.5
2003-01-24,3.4,-3.2,1.3,0.09999999999999987,2.57696,0.398
2003-01-25,3.4,-3.5,1.0,-0.050000000000000044,2.16971,0.398
2003-01-26,2.2,0.1,3.2,1.1500000000000001,1.86883,0.398
2003-01-27,8.4,2.1,0.2,5.25,1.68739,0.5
2003-01-28,8.3,0.1,7.1,4.2,1.49915,0.5
2003-01-29,2.1,0.1,6.9,1.1,2.07178,0.498
2003-01-30,0.5,-3.3,4.1,-1.4,2.29584,0.398
2003-01-31,-2.7,-8.6,0.8,-5.65,1.95577,0.3
2003-02-01,-2.8,-9.9,2.1,-6.35,1.63338,0.3
2003-02-02,3.0,-4.2,3.5,-0.6000000000000001,1.56019,0.3
2003-02-03,3.6,-0.6,13.5,1.5,2.53884,0.398
2003-02-04,1.5,-2.9,2.2,-0.7,2.73521,0.398
2003-02-05,2.2,-1.1,3.8,0.55,2.44539,0.398
2003-02-06,3.4,-2.5,1.4,0.44999999999999996,2.00503,0.398
2003-02-07,0.3,-2.1,1.2,-0.9,1.6635,0.398
2003-02-08,3.3,0.1,0.3,1.7,1.46543,0.498
2003-02-09,2.9,-2.4,0.0,0.25,1.43318,0.498
2003-02-10,-0.3,-4.0,0.0,-2.15,1.30307,0.498
2003-02-11,2.2,-5.3,0.0,-1.5499999999999998,1.19339,0.398
